draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
71,-12.9875,-10.9283,-9.675,-11.1,-8.07,-1.485,-4.5617,-4.7333,-0.6217,20.0067,15.6833,-6.79
72,-13.1667,-11.0967,-9.8167,-11.2383,-7.6367,-1.7133,-4.7483,-4.8633,-0.5267,19.9633,15.6267,-6.9783
73,-13.4,-11.295,-10.0375,-11.5333,-7.93,-1.9483,-4.8133,-5.1,-0.7867,19.6533,15.46,-7.0533
74,-13.5667,-11.465,-10.1375,-11.6883,-7.5667,-2.18,-4.8883,-5.2533,-0.4967,21.0,18.1367,-2.8983
75,-13.7583,-11.6683,-10.3417,-12.0217,-7.91,-2.5533,-5.19,-5.5167,-0.5,20.8333,18.2383,-2.945
76,-13.9583,-11.8167,-10.3583,-11.9733,-8.1767,-2.7633,-5.36,-5.6467,-0.4217,20.6533,18.4167,-2.9383
77,-14.1,-11.96,-10.375,-12.275,-8.4867,-3.0883,-5.6883,-5.9767,-0.765,20.3233,18.0767,-3.2417
78,-14.2708,-12.14,-10.6667,-12.6067,-8.85,-3.4683,-6.035,-6.3933,-1.1367,19.93,17.705,-3.6017
79,-14.4333,-12.2667,-10.8667,-12.915,-9.2267,-3.8483,-6.3283,-6.7333,-1.48,19.6667,17.4517,-3.8567
80,-14.6625,-12.4733,-11.0458,-13.055,-9.5533,-4.1933,-6.6167,-7.12,-1.8733,19.39,17.18,-4.0133
81,-14.85,-12.65,-11.1625,-13.1967,-9.86,-4.4217,-6.885,-7.4267,-2.1617,19.07,16.8783,-4.2983
82,-15.0167,-12.77,-11.2167,-13.1583,-9.31,-4.5833,-6.9967,-7.6167,-2.4017,18.8433,16.7133,-4.335
83,-15.1458,-12.8833,-11.2583,-12.9717,-9.6,-4.8383,-7.0917,-7.83,-2.6717,18.5567,16.45,-4.6583
84,-15.3083,-13.0517,-11.4542,-13.31,-9.94,-5.21,-7.4183,-8.2233,-3.08,18.2067,16.1233,-4.7883
85,-15.475,-13.2167,-11.5625,-13.115,-8.69,-0.1967,-7.355,-8.4033,-3.3733,17.9767,15.905,-5.0817
86,-15.5958,-13.3383,-11.6042,-12.91,-7.4567,-0.1683,-7.36,-8.5133,-3.56,17.86,15.8017,-5.08
87,-15.7833,-13.5533,-11.8292,-12.895,-7.75,-0.4267,-7.66,-8.8933,-3.9417,17.4833,15.4317,-5.4733
88,-15.9458,-13.6633,-11.9458,-13.0167,-8.1133,-0.7367,-7.945,-9.21,-4.255,17.1767,15.0883,-5.835
89,-16.1417,-13.8183,-12.0167,-13.14,-7.7167,-1.01,-8.195,-9.4733,-4.5133,16.8767,14.77,-6.1517
90,-16.3208,-13.9817,-12.2292,-13.4417,-8.0933,-1.3,-8.2433,-9.7267,-4.7617,16.6067,14.49,-6.3867
91,-16.5792,-14.2433,-12.5458,-13.81,-8.4333,-1.61,-8.52,-10.0667,-5.0767,16.3433,14.2967,-6.38
92,-16.8083,-14.465,-12.7458,-13.98,-8.7667,-1.9533,-8.8467,-10.36,-5.3317,16.1533,14.2733,-6.2833
93,-16.9667,-14.5517,-12.7375,-14.245,-9.0633,-2.2533,-9.145,-10.7267,-5.695,15.81,13.8983,-6.685
94,-17.0667,-14.6683,-12.875,-14.375,-9.33,-2.4333,-9.3567,-10.8467,-5.87,15.78,13.92,-6.8383
95,-17.2167,-14.7867,-12.9,-14.6417,-9.5367,-2.7117,-9.625,-11.1767,-6.0967,15.6767,13.7533,-7.065
96,-17.4,-14.8767,-12.8792,-14.7733,-9.76,-2.935,-9.8317,-11.4267,-6.0317,15.5067,13.5583,-7.3067
97,-17.6292,-15.05,-13.1375,-14.9667,-10.0833,-3.2983,-10.0583,-11.7033,-6.365,15.17,13.2617,-7.4233
98,-17.7625,-15.1983,-13.2,-14.9383,-10.3033,-3.5583,-10.27,-11.9833,-6.4133,14.9633,13.0983,-7.43
99,-17.9583,-15.345,-13.375,-15.1,-10.5167,-3.895,-10.5667,-12.32,-6.745,14.62,12.765,-7.7483
100,-18.1583,-15.5233,-13.5875,-15.4233,-10.85,-4.155,-10.7,-12.55,-6.6817,14.63,12.6467,-7.9583
101,-18.3417,-15.6767,-13.9083,-15.7133,-11.1833,-4.4517,-10.8767,-12.83,-7.02,14.32,12.4317,-7.9883
102,-18.5375,-15.8333,-14.0958,-15.825,-11.4333,-4.625,-11.045,-13.1333,-7.2733,14.0833,12.2733,-8.225
103,-18.7125,-15.9667,-14.3042,-15.7967,-10.9867,-4.8183,-11.2867,-13.33,-7.475,13.9767,12.1,-8.2683
104,-18.8917,-16.1367,-14.4583,-15.7917,-11.2867,-5.005,-11.4983,-13.61,-7.7733,13.76,11.8283,-8.365
