draw,portfolio_plain_draw_column_2,portfolio_bonus_draw_column_2,portfolio_para1_draw_column_2,portfolio_para1_bonus_draw_column_2,portfolio_plain_draw_column_5,portfolio_bonus_draw_column_5,portfolio_para1_draw_column_5,portfolio_para1_bonus_draw_column_5,portfolio_plain_draw_column_7,portfolio_bonus_draw_column_7,portfolio_para1_draw_column_7,portfolio_para1_bonus_draw_column_7
5876,-3206.2833,-4159.4167,-3915.7933,-4868.9267,-3167.25,-4090.5767,-3991.65,-4914.9767,-3145.365,-4058.1667,-4115.365,-5028.1667
5877,-3206.6317,-4159.8733,-3916.2517,-4869.4933,-3167.7667,-4091.425,-3992.3667,-4916.025,-3145.785,-4058.8267,-4116.285,-5029.3267
5878,-3207.23,-4160.4633,-3916.9933,-4870.2267,-3168.5,-4092.4033,-3993.3,-4917.2033,-3146.4167,-4059.6533,-4117.4167,-5030.6533
5879,-3207.8467,-4161.1633,-3917.79,-4871.1067,-3168.5567,-4091.3033,-3993.6567,-4916.4033,-3146.94,-4059.9967,-4116.94,-5029.9967
5880,-3208.0567,-4161.4983,-3918.1,-4871.5417,-3168.95,-4091.9517,-3994.25,-4917.2517,-3147.3283,-4060.5767,-4117.8283,-5031.0767
5881,-3208.8333,-4162.4667,-3918.9867,-4872.62,-3169.8767,-4093.0567,-3995.3767,-4918.5567,-3148.1767,-4061.51,-4119.1767,-5032.51
5882,-3209.4033,-4163.3283,-3919.6533,-4873.5783,-3170.6133,-4094.1517,-3996.3133,-4919.8517,-3148.8667,-4062.49,-4120.3667,-5033.99
5883,-3210.0,-4164.25,-3920.3433,-4874.5933,-3170.66,-4094.5117,-3996.56,-4920.4117,-3149.535,-4063.4567,-4121.535,-5035.4567
5884,-3210.5617,-4164.6783,-3921.025,-4875.1417,-3171.4333,-4095.4967,-3997.6333,-4921.6967,-3150.2767,-4064.3867,-4122.7767,-5036.8867
5885,-3210.5933,-4165.16,-3921.18,-4875.7467,-3171.0233,-4095.5283,-3997.7233,-4922.2283,-3150.4083,-4064.9067,-4123.4083,-5037.9067
5886,-3210.6883,-4165.305,-3921.4417,-4876.0583,-3170.5867,-4095.45,-3997.6867,-4922.55,-3150.62,-4065.435,-4124.12,-5038.935
5887,-3211.295,-4166.2117,-3922.1683,-4877.085,-3170.6633,-4095.755,-3998.0633,-4923.155,-3151.3467,-4066.4783,-4125.3467,-5040.4783
5888,-3211.8033,-4166.9033,-3922.8133,-4877.9133,-3171.37,-4096.79,-3999.17,-4924.59,-3151.9067,-4067.3267,-4126.4067,-5041.8267
5889,-3212.445,-4167.7867,-3923.585,-4878.9267,-3172.22,-4097.9567,-4000.42,-4926.1567,-3152.655,-4068.3483,-4127.655,-5043.3483
5890,-3213.2267,-4168.6433,-3924.52,-4879.9367,-3173.11,-4099.08,-4001.41,-4927.38,-3153.505,-4069.3283,-4129.005,-5044.8283
5891,-3213.8417,-4169.05,-3925.285,-4880.4933,-3173.8567,-4100.065,-4002.3567,-4928.565,-3154.225,-4070.3017,-4130.225,-5046.3017
5892,-3214.39,-4169.515,-3925.9667,-4881.0917,-3174.5433,-4100.9267,-4003.2433,-4929.6267,-3154.7333,-4071.0283,-4129.7333,-5046.0283
5893,-3214.9217,-4169.7467,-3926.6317,-4881.4567,-3175.1967,-4101.6033,-4003.9967,-4930.4033,-3155.315,-4071.6783,-4130.815,-5047.1783
5894,-3215.535,-4170.5517,-3927.365,-4882.3817,-3175.16,-4100.255,-4003.96,-4929.055,-3155.905,-4072.365,-4131.905,-5048.365
5895,-3216.235,-4171.5433,-3928.1683,-4883.4767,-3175.18,-4100.5083,-4003.98,-4929.3083,-3156.2733,-4072.9817,-4129.7733,-5046.4817
5896,-3216.7583,-4171.8167,-3928.7883,-4883.8467,-3175.8533,-4101.28,-4004.9533,-4930.38,-3156.8367,-4073.605,-4130.8367,-5047.605
5897,-3217.5433,-4172.9267,-3929.7033,-4885.0867,-3176.75,-4102.495,-4005.95,-4931.695,-3157.7083,-4074.7567,-4132.2083,-5049.2567
5898,-3218.0133,-4173.6133,-3930.3033,-4885.9033,-3177.3567,-4103.4167,-4006.5567,-4932.6167,-3158.3117,-4075.6583,-4133.3117,-5050.6583
5899,-3218.6233,-4174.3817,-3931.03,-4886.7883,-3178.12,-4104.3083,-4007.32,-4933.5083,-3159.0817,-4076.7067,-4134.5817,-5052.2067
5900,-3218.995,-4175.0283,-3931.5417,-4887.575,-3178.5167,-4104.9017,-4007.3167,-4933.7017,-3159.5067,-4077.3167,-4135.5067,-5053.3167
5901,-3219.7017,-4175.6517,-3932.405,-4888.355,-3179.2433,-4105.8633,-4007.7433,-4934.3633,-3160.165,-4078.115,-4135.165,-5053.115
5902,-3220.5867,-4176.47,-3933.4167,-4889.3,-3180.2767,-4107.0383,-4008.8767,-4935.6383,-3161.0383,-4078.745,-4135.0383,-5052.745
5903,-3221.0467,-4177.355,-3933.9967,-4890.305,-3180.9,-4107.9883,-4009.8,-4936.8883,-3161.645,-4079.6667,-4136.145,-5054.1667
5904,-3221.7067,-4178.2567,-3934.7833,-4891.3333,-3181.7267,-4109.1167,-4010.9267,-4938.3167,-3162.3467,-4080.5683,-4137.3467,-5055.5683
5905,-3222.165,-4178.8983,-3935.3417,-4892.075,-3182.3567,-4110.0733,-4011.8567,-4939.5733,-3162.8633,-4081.4133,-4138.3633,-5056.9133
5906,-3223.0933,-4180.1767,-3936.41,-4893.4933,-3183.4367,-4111.49,-4013.2367,-4941.29,-3163.8717,-4082.7217,-4139.8717,-5058.7217
5907,-3223.81,-4180.8683,-3937.2567,-4894.315,-3184.32,-4112.4267,-4014.32,-4942.4267,-3164.5817,-4083.67,-4139.5817,-5058.67
5908,-3223.9633,-4181.1217,-3937.57,-4894.7283,-3183.8667,-4110.85,-4013.8667,-4940.85,-3164.69,-4083.625,-4138.69,-5057.625
5909,-3224.2767,-4181.6683,-3938.0033,-4895.395,-3184.37,-4111.6633,-4014.77,-4942.0633,-3165.0783,-4084.345,-4139.5783,-5058.845
5910,-3224.69,-4181.9483,-3938.54,-4895.7983,-3184.9833,-4112.38,-4015.6833,-4943.08,-3165.53,-4084.9667,-4140.53,-5059.9667
5911,-3225.32,-4182.6283,-3939.2833,-4896.5917,-3185.0667,-4112.56,-4016.1667,-4943.66,-3166.125,-4085.6933,-4140.125,-5059.6933
5912,-3225.6967,-4183.2967,-3939.8333,-4897.4333,-3185.48,-4113.2767,-4016.48,-4944.2767,-3166.4583,-4086.33,-4139.4583,-5059.33
5913,-3226.0717,-4183.6133,-3940.3317,-4897.8733,-3185.2067,-4113.29,-4016.3067,-4944.39,-3166.77,-4086.9333,-4138.77,-5058.9333
5914,-3226.4017,-4183.91,-3940.795,-4898.3033,-3185.6667,-4114.0267,-4016.9667,-4945.3267,-3167.1733,-4087.575,-4139.6733,-5060.075
5915,-3227.14,-4184.8067,-3941.6233,-4899.29,-3186.42,-4115.005,-4017.42,-4946.005,-3168.0183,-4088.5883,-4141.0183,-5061.5883
5916,-3228.0367,-4186.0783,-3942.6433,-4900.685,-3187.4433,-4116.2217,-4018.6433,-4947.4217,-3169.0217,-4089.7667,-4142.5217,-5063.2667
5917,-3228.5683,-4186.96,-3943.315,-4901.7067,-3188.1433,-4117.2217,-4019.6433,-4948.7217,-3169.615,-4090.665,-4143.615,-5064.665
5918,-3229.2667,-4187.85,-3944.1233,-4902.7067,-3188.9167,-4118.2033,-4020.3167,-4949.6033,-3170.2,-4091.3783,-4143.2,-5064.3783
5919,-3229.86,-4188.6933,-3944.84,-4903.6733,-3189.6367,-4119.1983,-4021.1367,-4950.6983,-3170.8883,-4092.36,-4144.3883,-5065.86
5920,-3229.9233,-4188.89,-3945.02,-4903.9867,-3189.8233,-4119.6767,-4021.3233,-4951.1767,-3171.1,-4092.9383,-4145.1,-5066.9383
5921,-3230.3483,-4189.69,-3945.5583,-4904.9,-3190.4233,-4120.65,-4022.2233,-4952.45,-3171.5983,-4093.7533,-4146.0983,-5068.2533
5922,-3230.9517,-4190.51,-3946.255,-4905.8133,-3191.2133,-4121.7567,-4023.2133,-4953.7567,-3172.3317,-4094.7817,-4147.3317,-5069.7817
5923,-3231.7817,-4191.615,-3947.1783,-4907.0117,-3192.06,-4122.6417,-4023.66,-4954.2417,-3173.195,-4095.9,-4148.695,-5071.4
5924,-3232.4933,-4192.6433,-3948.0067,-4908.1567,-3192.74,-4123.4117,-4024.14,-4954.8117,-3173.7217,-4096.065,-4148.2217,-5070.565
5925,-3232.9333,-4193.4583,-3948.5933,-4909.1183,-3193.29,-4124.2417,-4024.79,-4955.7417,-3174.245,-4096.8467,-4149.245,-5071.8467
5926,-3233.3417,-4194.1333,-3949.135,-4909.9267,-3193.8867,-4125.0383,-4025.5867,-4956.7383,-3174.7967,-4097.6083,-4150.2967,-5073.1083
5927,-3233.9717,-4194.9467,-3949.9117,-4910.8867,-3194.67,-4126.02,-4026.67,-4958.02,-3175.5733,-4098.6383,-4151.5733,-5074.6383
5928,-3234.51,-4195.685,-3950.59,-4911.765,-3195.4033,-4127.0583,-4027.7033,-4959.3583,-3176.2667,-4099.6517,-4152.7667,-5076.1517
5929,-3235.265,-4196.69,-3951.4683,-4912.8933,-3196.29,-4128.1733,-4028.69,-4960.5733,-3177.0967,-4100.6783,-4154.0967,-5077.6783
5930,-3235.9883,-4197.7383,-3952.2983,-4914.0483,-3197.1,-4129.2883,-4029.6,-4961.7883,-3177.85,-4101.5433,-4155.35,-5079.0433
5931,-3236.5067,-4198.2483,-3952.9433,-4914.685,-3197.75,-4130.165,-4030.55,-4962.965,-3178.4233,-4102.3067,-4156.4233,-5080.3067
5932,-3237.2017,-4199.26,-3953.715,-4915.7733,-3198.5733,-4131.3467,-4031.5733,-4964.3467,-3179.1217,-4103.32,-4157.6217,-5081.82
5933,-3237.95,-4199.875,-3954.5867,-4916.5117,-3199.56,-4132.4383,-4032.76,-4965.6383,-3179.9667,-4104.3117,-4158.9667,-5083.3117
5934,-3238.29,-4200.3233,-3955.07,-4917.1033,-3200.09,-4133.2367,-4033.49,-4966.6367,-3180.4083,-4105.025,-4159.9083,-5084.525
5935,-3238.7483,-4200.9983,-3955.615,-4917.865,-3200.7067,-4133.925,-4034.3067,-4967.525,-3181.0467,-4105.7967,-4161.0467,-5085.7967
5936,-3239.31,-4201.51,-3956.28,-4918.48,-3201.3967,-4134.8683,-4035.0967,-4968.5683,-3181.655,-4106.7283,-4162.155,-5087.2283
5937,-3240.05,-4202.4917,-3957.1067,-4919.5483,-3202.22,-4135.925,-4035.82,-4969.525,-3182.4233,-4107.5183,-4163.4233,-5088.5183
5938,-3240.2433,-4202.8433,-3957.43,-4920.03,-3201.8567,-4135.88,-4035.6567,-4969.68,-3174.3783,-4099.7583,-4155.8783,-5081.2583
5939,-3240.6683,-4203.3933,-3957.9817,-4920.7067,-3202.3867,-4136.4867,-4036.2867,-4970.3867,-3174.9017,-4100.38,-4156.9017,-5082.38
5940,-3241.68,-4204.405,-3959.17,-4921.895,-3203.5567,-4137.7767,-4037.6567,-4971.8767,-3175.9317,-4101.6,-4158.4317,-5084.1
5941,-3242.3217,-4205.4717,-3959.905,-4923.055,-3204.33,-4138.7617,-4038.73,-4973.1617,-3176.6417,-4102.5267,-4159.6417,-5085.5267
