draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
88,-16.2275,-13.93,-12.505,-14.008,-10.358,-3.153,-6.72,-6.802,-4.88,3.872,4.424,-9.377
89,-16.405,-14.098,-12.58,-14.109,-9.818,-3.408,-6.971,-7.024,-4.98,3.632,4.134,-9.691
90,-16.61,-14.291,-12.8625,-14.439,-10.198,-3.739,-7.136,-7.324,-5.294,3.328,3.835,-9.978
91,-16.845,-14.492,-13.09,-14.599,-10.536,-4.025,-7.325,-6.678,-5.427,3.108,3.658,-10.027
92,-17.0375,-14.69,-13.2675,-14.82,-10.866,-4.389,-7.643,-6.996,-5.722,2.862,3.53,-10.056
93,-17.195,-14.806,-13.265,-14.906,-10.728,-4.644,-7.925,-7.34,-6.041,2.546,3.186,-10.414
94,-17.355,-14.953,-13.47,-15.127,-10.986,-4.856,-8.173,-7.526,-6.271,2.41,3.085,-10.632
95,-17.5125,-15.074,-13.5125,-15.383,-11.174,-5.041,-8.366,-7.836,-6.523,2.242,2.926,-10.691
96,-17.6925,-15.177,-13.5625,-15.496,-11.006,-5.236,-8.492,-8.058,-6.561,2.078,2.686,-10.956
97,-17.8825,-15.322,-13.735,-15.741,-11.366,-5.591,-8.737,-8.362,-6.912,1.716,2.377,-11.179
98,-18.0475,-15.476,-13.83,-15.84,-11.602,-5.789,-8.871,-8.608,-7.05,1.502,2.181,-11.277
99,-18.2425,-15.613,-13.965,-15.749,-11.364,-4.433,-9.033,-7.858,-7.152,1.32,1.944,-11.551
100,-18.43,-15.748,-14.11,-15.959,-11.63,-4.698,-9.183,-8.01,-7.012,1.364,2.038,-10.681
101,-18.65,-15.929,-14.4425,-16.277,-11.97,-5.034,-9.446,-8.344,-7.367,1.044,1.812,-10.819
102,-18.8525,-16.103,-14.6425,-16.457,-12.22,-5.273,-9.688,-8.672,-7.675,0.76,1.565,-11.11
103,-19.0175,-16.262,-14.8225,-16.374,-12.05,-5.523,-9.942,-8.928,-7.953,0.526,1.301,-11.309
104,-19.1875,-16.424,-14.9725,-16.488,-12.398,-5.782,-10.173,-9.224,-8.253,0.314,1.03,-11.508
105,-19.3825,-16.582,-15.1325,-16.784,-12.738,-6.142,-10.467,-9.54,-8.616,-0.016,0.685,-11.835
106,-19.5675,-16.734,-15.2475,-16.993,-13.06,-6.424,-10.757,-9.846,-8.946,-0.334,0.407,-12.177
107,-19.7375,-16.885,-15.3175,-17.103,-12.904,-6.57,-10.957,-10.052,-9.158,-0.446,0.455,-12.145
108,-19.8975,-17.023,-15.5075,-17.425,-13.256,-6.906,-11.217,-10.376,-9.491,-0.76,0.109,-12.466
109,-20.1225,-17.221,-15.7575,-17.564,-13.144,-7.227,-11.547,-10.716,-9.829,-1.042,-0.094,-12.636
110,-20.3125,-17.389,-15.9675,-17.673,-12.57,-7.493,-11.793,-11.008,-10.146,-1.248,-0.381,-12.976
111,-20.5375,-17.586,-16.16,-17.804,-12.842,-7.784,-12.02,-11.336,-10.477,-1.52,-0.628,-13.096
112,-20.7,-17.717,-16.2625,-17.89,-12.688,-8.023,-12.233,-11.606,-10.778,-1.814,-0.899,-13.367
113,-20.89,-17.869,-16.4975,-18.194,-13.046,-8.376,-12.515,-11.842,-11.097,-2.15,-1.273,-13.758
114,-21.105,-17.986,-16.6675,-18.384,-12.92,-8.611,-12.74,-12.154,-11.409,-2.41,-1.317,-13.929
115,-21.3,-18.161,-16.7775,-18.568,-13.212,-8.916,-12.935,-12.402,-11.511,-2.578,-1.219,-13.049
116,-21.4975,-18.347,-17.0425,-18.876,-13.58,-9.22,-13.2,-12.736,-11.783,-2.864,-1.498,-13.39
117,-21.7,-18.505,-17.2725,-19.173,-13.872,-9.455,-13.341,-11.986,-7.909,-2.464,-1.409,-12.42
118,-21.8775,-18.678,-17.3825,-19.397,-13.696,-8.131,-13.454,-11.236,-7.788,-2.496,-1.092,-12.299
119,-22.095,-18.864,-17.6075,-19.614,-14.042,-8.444,-13.568,-11.446,-8.056,-2.65,-1.084,-12.413
120,-22.31,-19.026,-17.6925,-19.61,-13.782,-8.536,-13.643,-11.654,-8.304,-2.886,-1.243,-12.664
121,-22.46,-19.188,-17.8175,-19.812,-14.066,-8.852,-13.896,-11.918,-8.581,-3.142,-1.525,-12.98
122,-22.6575,-19.377,-18.0175,-20.045,-14.424,-9.235,-14.232,-12.292,-8.969,-3.508,-1.857,-13.182
123,-22.8325,-19.531,-18.235,-20.243,-14.34,-7.948,-14.349,-12.518,-9.221,-3.704,-1.897,-12.53
124,-23.04,-19.707,-18.365,-20.361,-14.674,-8.24,-14.534,-12.764,-9.456,-3.696,-1.773,-12.257
125,-23.2075,-19.86,-18.5875,-20.581,-14.98,-8.594,-14.818,-13.058,-9.689,-3.938,-1.944,-12.401
126,-23.415,-20.04,-18.7825,-20.514,-14.796,-8.819,-15.019,-13.15,-9.852,-3.94,-2.037,-12.432
127,-23.57,-20.195,-18.97,-20.825,-15.15,-9.092,-15.219,-13.408,-10.128,-4.196,-2.337,-12.775
128,-23.78,-20.395,-19.2575,-20.968,-15.462,-9.402,-15.491,-13.742,-10.456,-4.444,-2.588,-13.1
129,-23.9875,-20.558,-19.455,-21.276,-15.856,-9.714,-15.795,-14.076,-10.734,-4.63,-2.772,-13.262
130,-24.14,-20.687,-19.5425,-21.475,-16.158,-9.975,-16.069,-14.356,-11.044,-4.832,-2.95,-13.504
131,-24.315,-20.809,-19.68,-21.773,-16.486,-10.302,-16.331,-14.656,-11.348,-5.098,-3.244,-13.814
132,-24.5375,-20.958,-19.6825,-21.839,-16.288,-10.49,-16.523,-14.96,-11.6,-5.218,-3.392,-14.096
133,-24.7675,-21.124,-19.775,-22.027,-16.2,-10.747,-16.795,-15.288,-11.94,-5.526,-3.67,-14.298
134,-24.9375,-21.283,-19.94,-22.257,-16.484,-11.043,-17.03,-15.622,-12.269,-5.862,-3.925,-14.609
135,-25.1325,-21.43,-20.0025,-22.157,-15.864,-9.661,-17.087,-15.864,-12.399,-6.096,-4.113,-14.892
136,-25.2975,-21.58,-20.1325,-22.181,-16.162,-9.998,-17.359,-16.146,-12.723,-6.396,-4.438,-15.263
137,-25.5275,-21.757,-20.285,-22.301,-16.496,-10.308,-17.651,-16.462,-13.004,-6.664,-4.729,-15.604
138,-25.72,-21.875,-20.2825,-22.292,-16.314,-10.502,-17.874,-16.77,-13.287,-6.88,-4.987,-15.922
139,-25.94,-22.053,-20.3675,-22.314,-16.194,-10.752,-18.051,-17.076,-13.647,-7.174,-5.242,-16.193
140,-26.1275,-22.226,-20.495,-22.33,-16.028,-10.975,-18.207,-16.38,-13.726,-7.312,-5.355,-16.305
141,-26.375,-22.426,-20.7275,-22.457,-16.31,-11.259,-18.462,-16.644,-13.796,-7.018,-5.26,-16.422
142,-26.52,-22.551,-20.7875,-22.641,-16.14,-9.94,-18.651,-15.936,-13.691,-6.682,-4.961,-16.181
143,-26.67,-22.669,-20.905,-22.727,-16.342,-10.118,-18.888,-16.15,-13.773,-6.858,-5.219,-16.466
144,-26.8425,-22.828,-21.05,-22.851,-16.27,-10.389,-19.142,-16.452,-14.114,-7.122,-5.494,-16.728
