draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
3322,-622.3625,-531.833,-509.3125,-512.274,-482.732,-480.795,-506.406,-548.202,-454.097,-484.746,-507.692,-472.46,-931.029,-1019.5875,-1025.738,-936.832,-974.545,-1036.106,-1087.802,-935.097,-340.182,-336.096,-308.444,-328.352
3323,-622.5,-531.958,-509.52,-512.482,-482.986,-480.984,-506.606,-548.49,-454.355,-485.002,-507.882,-472.748,-931.264,-1019.96,-1026.094,-937.046,-974.544,-1036.806,-1088.59,-935.855,-340.274,-336.196,-308.56,-328.46
3324,-622.6675,-532.079,-509.535,-512.378,-482.778,-479.51,-506.588,-548.622,-454.149,-485.01,-507.926,-472.816,-931.497,-1020.105,-1026.106,-936.798,-972.65,-1035.488,-1089.222,-936.149,-340.362,-336.306,-308.664,-328.496
3325,-622.83,-532.226,-509.6125,-512.288,-482.136,-479.635,-506.686,-548.878,-454.428,-485.242,-508.128,-473.092,-931.748,-1020.3375,-1026.18,-936.236,-972.355,-1035.186,-1089.978,-936.928,-340.462,-336.4,-308.776,-328.636
3326,-622.995,-532.342,-509.64,-512.472,-482.41,-479.901,-506.803,-548.112,-454.478,-484.88,-508.078,-473.035,-931.986,-1020.47,-1026.416,-936.59,-972.891,-1034.903,-1085.512,-937.478,-340.542,-336.52,-308.876,-328.712
3327,-623.155,-532.514,-509.7925,-512.709,-482.742,-480.25,-507.102,-548.474,-454.857,-485.206,-508.338,-473.334,-932.262,-1020.8275,-1026.865,-937.122,-973.74,-1035.702,-1086.374,-938.357,-340.662,-336.614,-308.948,-328.836
3328,-623.36,-532.653,-509.9475,-512.818,-482.988,-480.484,-507.304,-548.706,-454.93,-485.388,-508.449,-473.302,-932.559,-1021.1425,-1027.138,-937.328,-974.244,-1036.404,-1087.106,-938.93,-340.786,-336.73,-308.968,-329.0
3329,-623.5775,-532.826,-510.11,-513.032,-483.36,-480.837,-507.614,-549.042,-455.292,-485.75,-508.816,-473.648,-932.868,-1021.48,-1027.452,-938.08,-975.097,-1037.214,-1087.942,-939.792,-340.902,-336.828,-309.04,-329.164
3330,-623.7475,-532.948,-510.145,-513.11,-483.098,-481.028,-507.788,-549.162,-455.193,-485.86,-508.984,-473.842,-933.084,-1021.585,-1027.614,-937.658,-975.328,-1037.888,-1088.562,-940.193,-340.958,-336.966,-309.152,-329.344
3331,-623.9025,-533.042,-510.2525,-513.21,-483.366,-481.301,-507.984,-549.326,-455.402,-485.916,-509.181,-474.086,-933.286,-1021.8075,-1027.894,-937.946,-975.871,-1038.584,-1089.226,-940.902,-341.104,-337.054,-309.184,-329.484
3332,-624.085,-533.221,-510.4425,-513.528,-483.696,-481.493,-508.052,-548.63,-455.512,-485.662,-507.766,-473.247,-933.583,-1022.1775,-1028.392,-938.476,-975.643,-1037.352,-1084.83,-941.512,-341.23,-337.136,-309.268,-329.584
3333,-624.2575,-533.388,-510.65,-513.838,-484.058,-481.829,-508.339,-548.94,-455.817,-485.948,-508.044,-473.531,-933.854,-1022.5,-1028.866,-939.158,-976.249,-1038.139,-1085.64,-942.317,-341.35,-337.242,-309.316,-329.628
3334,-624.4125,-533.536,-510.7075,-513.846,-483.914,-482.046,-508.457,-549.182,-455.769,-486.128,-508.292,-473.83,-934.108,-1022.6725,-1028.99,-939.214,-976.276,-1036.957,-1086.382,-942.769,-341.44,-337.354,-309.412,-329.776
3335,-624.555,-533.679,-510.905,-514.073,-484.206,-482.271,-508.606,-549.422,-455.931,-486.262,-508.437,-474.014,-934.357,-1023.015,-1029.477,-939.586,-976.541,-1036.706,-1087.122,-943.431,-341.56,-337.46,-309.46,-329.828
3336,-624.7375,-533.832,-510.9925,-514.085,-483.162,-482.357,-508.737,-549.624,-456.18,-486.432,-508.591,-474.167,-934.616,-1023.3275,-1029.621,-938.682,-975.977,-1037.337,-1087.824,-944.18,-341.636,-337.578,-309.572,-329.928
3337,-624.91,-533.988,-511.155,-514.212,-483.0,-482.568,-508.956,-549.908,-456.296,-486.608,-508.723,-474.24,-934.874,-1023.615,-1030.024,-938.6,-975.998,-1038.056,-1088.608,-944.796,-341.734,-337.68,-309.672,-330.028
3338,-625.0675,-534.119,-511.2525,-514.313,-482.82,-481.254,-509.019,-550.178,-456.622,-486.816,-508.764,-474.436,-935.107,-1023.8575,-1030.289,-938.44,-974.954,-1036.819,-1089.378,-945.622,-341.834,-337.796,-309.74,-330.12
3339,-625.2275,-534.275,-511.52,-514.546,-482.728,-481.526,-509.245,-550.508,-456.982,-487.086,-509.09,-474.811,-935.375,-1024.26,-1030.814,-938.668,-975.266,-1036.645,-1090.208,-946.482,-341.948,-337.91,-309.784,-330.308
3340,-625.3575,-534.41,-511.6325,-514.526,-482.554,-481.724,-509.505,-550.78,-457.305,-487.414,-509.41,-475.179,-935.6,-1024.4975,-1030.894,-938.634,-975.274,-1037.405,-1090.98,-947.305,-342.03,-338.02,-309.9,-330.376
3341,-625.55,-534.573,-511.89,-514.859,-482.904,-482.048,-509.8,-551.136,-457.672,-487.784,-509.792,-475.588,-935.889,-1024.92,-1031.519,-939.244,-976.098,-1038.2,-1091.836,-948.172,-342.094,-338.156,-310.0,-330.388
3342,-625.73,-534.745,-512.04,-515.091,-483.228,-482.253,-509.985,-551.412,-457.779,-487.894,-509.425,-474.578,-936.195,-1025.27,-1031.995,-939.768,-975.883,-1037.985,-1092.612,-948.779,-342.218,-338.23,-310.104,-330.376
3343,-625.915,-534.891,-512.13,-515.099,-483.028,-480.813,-509.994,-551.55,-457.988,-488.096,-509.575,-474.672,-936.463,-1025.49,-1032.231,-939.588,-974.253,-1037.594,-1093.25,-949.488,-342.306,-338.362,-310.164,-330.404
