global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20161,1,parity_fixed_odd_t10_mg5,0.0,500.0
20162,1,parity_fixed_odd_t10_mg5,0.0,500.0
20163,1,parity_fixed_odd_t10_mg5,0.0,500.0
20164,1,parity_fixed_odd_t10_mg5,0.0,500.0
20165,1,parity_fixed_odd_t10_mg5,0.0,500.0
20166,1,parity_fixed_odd_t10_mg5,0.0,500.0
20167,1,parity_fixed_odd_t10_mg5,0.0,500.0
20168,1,parity_fixed_odd_t10_mg5,0.0,500.0
20169,1,parity_fixed_odd_t10_mg5,0.0,500.0
20170,1,parity_fixed_odd_t10_mg5,0.0,500.0
20171,1,parity_fixed_odd_t10_mg5,0.0,500.0
20172,1,parity_fixed_odd_t10_mg5,0.0,500.0
20173,1,parity_fixed_odd_t10_mg5,0.0,500.0
20174,1,parity_fixed_odd_t10_mg5,0.0,500.0
20175,1,parity_fixed_odd_t10_mg5,0.0,500.0
20176,1,parity_fixed_odd_t10_mg5,0.0,500.0
20177,1,parity_fixed_odd_t10_mg5,0.0,500.0
20178,1,parity_fixed_odd_t10_mg5,0.0,500.0
20179,1,parity_fixed_odd_t10_mg5,0.0,500.0
20180,1,parity_fixed_odd_t10_mg5,0.0,500.0
20181,1,parity_fixed_odd_t10_mg5,0.0,500.0
20182,1,parity_fixed_odd_t10_mg5,0.0,500.0
20183,1,parity_fixed_odd_t10_mg5,0.0,500.0
20184,1,parity_fixed_odd_t10_mg5,0.0,500.0
20185,1,parity_fixed_odd_t10_mg5,0.0,500.0
20186,1,parity_fixed_odd_t10_mg5,0.0,500.0
20187,1,parity_fixed_odd_t10_mg5,0.0,500.0
20188,1,parity_fixed_odd_t10_mg5,0.0,500.0
20189,1,parity_fixed_odd_t10_mg5,0.0,500.0
20190,1,parity_fixed_odd_t10_mg5,0.0,500.0
20191,1,parity_fixed_odd_t10_mg5,0.0,500.0
20192,1,parity_fixed_odd_t10_mg5,0.0,500.0
20193,1,parity_fixed_odd_t10_mg5,0.0,500.0
20194,1,parity_fixed_odd_t10_mg5,0.0,500.0
20195,1,parity_fixed_odd_t10_mg5,0.0,500.0
20196,1,parity_fixed_odd_t10_mg5,0.0,500.0
20197,1,parity_fixed_odd_t10_mg5,0.0,500.0
20198,1,parity_fixed_odd_t10_mg5,0.0,500.0
20199,1,parity_fixed_odd_t10_mg5,0.0,500.0
20200,1,parity_fixed_odd_t10_mg5,0.0,500.0
20201,1,parity_fixed_odd_t10_mg5,0.0,500.0
20202,1,parity_fixed_odd_t10_mg5,0.0,500.0
20203,1,parity_fixed_odd_t10_mg5,0.0,500.0
20204,1,parity_fixed_odd_t10_mg5,0.0,500.0
20205,1,parity_fixed_odd_t10_mg5,0.0,500.0
20206,1,parity_fixed_odd_t10_mg5,0.0,500.0
20207,1,parity_fixed_odd_t10_mg5,0.0,500.0
