draw,pick,cumulative_profit,roi
15000,7,-781.5,-0.1042
15000,9,-3088.0,-0.411733
15100,2,-2457.0,-0.32543
15100,5,-825.0,-0.109272
15100,7,-815.0,-0.107947
15100,9,-3127.0,-0.414172
15200,2,-2481.5,-0.326513
15200,5,-836.0,-0.11
15200,7,-836.5,-0.110066
15200,9,-3141.0,-0.413289
15300,2,-2502.5,-0.327124
15300,5,-876.0,-0.11451
15300,7,-857.5,-0.112092
15300,9,-3174.0,-0.414902
15400,2,-2513.5,-0.326429
15400,5,-907.0,-0.117792
15400,7,-895.0,-0.116234
15400,9,-3200.5,-0.415649
15500,2,-2517.5,-0.324839
15500,5,-938.0,-0.121032
15500,7,-931.0,-0.120129
15500,9,-3243.5,-0.418516
15600,2,-2541.5,-0.325833
15600,5,-979.0,-0.125513
15600,7,-964.5,-0.123654
15600,9,-3285.0,-0.421154
15700,2,-2567.0,-0.327006
15700,5,-998.0,-0.127134
15700,7,-997.0,-0.127006
15700,9,-3318.5,-0.422739
15800,2,-2586.0,-0.327342
15800,5,-1016.0,-0.128608
15800,7,-1022.0,-0.129367
15800,9,-3354.0,-0.424557
15900,2,-2600.0,-0.327044
15900,5,-1063.0,-0.133711
15900,7,-1049.0,-0.13195
15900,9,-3345.5,-0.420818
16000,2,-2612.0,-0.3265
16000,5,-1094.0,-0.13675
16000,7,-1068.0,-0.1335
16000,9,-3381.5,-0.422687
16100,2,-2633.5,-0.327143
16100,5,-1118.0,-0.138882
16100,7,-1007.0,-0.125093
16100,9,-3408.0,-0.423354
16200,2,-2644.0,-0.32642
16200,5,-1162.0,-0.143457
16200,7,-1038.0,-0.128148
16200,9,-3408.5,-0.420802
16300,2,-2660.0,-0.32638
16300,5,-1172.0,-0.143804
16300,7,-1061.0,-0.130184
16300,9,-3444.5,-0.422638
16400,2,-2683.0,-0.327195
16400,5,-1205.0,-0.146951
16400,7,-1089.5,-0.132866
16400,9,-3464.0,-0.422439
16500,2,-2696.0,-0.326788
16500,5,-1247.0,-0.151152
16500,7,-1112.0,-0.134788
16500,9,-3478.5,-0.421636
16600,2,-2700.0,-0.325301
16600,5,-1281.0,-0.154337
16600,7,-1146.5,-0.138133
16600,9,-3486.5,-0.42006
16700,2,-2721.5,-0.325928
16700,5,-1326.0,-0.158802
16700,7,-1176.0,-0.140838
16700,9,-3529.0,-0.422635
16800,2,-2749.5,-0.327321
16800,5,-1347.0,-0.160357
16800,7,-1208.0,-0.14381
16800,9,-3550.0,-0.422619
16900,2,-2771.5,-0.327988
16900,5,-1364.0,-0.16142
16900,7,-1239.0,-0.146627
16900,9,-3581.0,-0.423787
17000,2,-2784.0,-0.327529
17000,5,-1408.0,-0.165647
17000,7,-1274.5,-0.149941
17000,9,-3619.0,-0.425765
17100,2,-2799.0,-0.327368
17100,5,-1437.0,-0.16807
17100,7,-1287.0,-0.150526
17100,9,-3643.5,-0.42614
17200,2,-2818.0,-0.327674
17200,5,-1456.0,-0.169302
17200,7,-1310.5,-0.152384
17200,9,-3658.0,-0.425349
17300,2,-2833.5,-0.327572
17300,5,-1482.0,-0.171329
17300,7,-1281.0,-0.148092
17300,9,-3672.0,-0.424509
17400,2,-2853.0,-0.327931
17400,5,-1523.0,-0.175057
17400,7,-1295.5,-0.148908
17400,9,-3712.0,-0.426667
17500,2,-2860.5,-0.326914
17500,5,-1562.0,-0.178514
17500,7,-1318.5,-0.150686
17500,9,-3741.0,-0.427543
17600,2,-2866.0,-0.325682
17600,5,-1592.0,-0.180909
17600,7,-1348.5,-0.153239
17600,9,-3778.0,-0.429318
17700,2,-2877.0,-0.325085
17700,5,-1625.0,-0.183616
17700,7,-1386.0,-0.15661
17700,9,-3817.0,-0.431299
17800,2,-2883.5,-0.323989
17800,5,-1633.0,-0.183483
17800,7,-1414.0,-0.158876
17800,9,-3842.5,-0.431742
17900,2,-2908.0,-0.324916
17900,5,-1450.0,-0.162011
17900,7,-1431.0,-0.159888
17900,9,-3880.0,-0.43352
18000,2,-2919.0,-0.324333
18000,5,-1472.0,-0.163556
18000,7,-1445.0,-0.160556
18000,9,-3923.0,-0.435889
18100,2,-2932.0,-0.323978
18100,5,-1267.0,-0.14
18100,7,-1416.0,-0.156464
18100,9,-3946.5,-0.436077
18200,2,-2937.0,-0.322747
18200,5,-1298.0,-0.142637
18200,7,-1436.0,-0.157802
18200,9,-3982.0,-0.437582
18300,2,-2955.0,-0.322951
18300,5,-1338.0,-0.14623
18300,7,-1469.0,-0.160546
18300,9,-4024.5,-0.439836
18400,2,-2973.0,-0.323152
18400,5,-1358.0,-0.147609
18400,7,-1502.0,-0.163261
18400,9,-4039.5,-0.439076
