draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
8754,-1644.32,-1406.494,-1346.565,-1374.004,-1353.924,-1346.246,-1264.454,-1262.04,-1141.038,-1315.488,-1365.614,-1286.452,-2461.482,-2692.095,-2730.876,-2569.524,-2674.826,-2772.254,-2841.84,-2198.038,-894.104,-887.72,-813.352,-872.168
8755,-1644.425,-1406.566,-1346.59,-1373.87,-1354.068,-1346.366,-1264.586,-1262.192,-1141.184,-1315.324,-1365.594,-1286.134,-2461.678,-2692.27,-2730.666,-2569.448,-2674.986,-2772.886,-2842.492,-2198.684,-894.232,-887.836,-813.364,-872.332
8756,-1644.67,-1406.76,-1346.745,-1374.208,-1354.448,-1346.734,-1264.924,-1262.524,-1141.504,-1315.66,-1365.916,-1286.396,-2462.08,-2692.635,-2731.248,-2570.208,-2675.854,-2773.724,-2843.324,-2199.504,-894.388,-887.852,-813.52,-872.384
8757,-1644.85,-1406.948,-1346.94,-1374.366,-1354.744,-1347.102,-1265.254,-1262.86,-1141.804,-1315.948,-1366.07,-1286.52,-2462.424,-2693.02,-2731.714,-2570.644,-2676.722,-2774.554,-2844.16,-2200.304,-894.488,-887.972,-813.58,-872.58
8758,-1645.015,-1407.134,-1347.035,-1374.674,-1355.084,-1347.352,-1265.486,-1263.184,-1142.116,-1316.168,-1366.272,-1286.68,-2462.722,-2693.305,-2732.202,-2571.244,-2677.012,-2775.286,-2844.984,-2201.116,-894.56,-888.14,-813.6,-872.84
8759,-1645.16,-1407.252,-1347.155,-1374.6,-1355.284,-1347.526,-1265.584,-1263.328,-1142.306,-1316.308,-1366.262,-1286.81,-2462.956,-2693.565,-2732.308,-2571.344,-2677.226,-2775.884,-2845.628,-2201.806,-894.64,-888.256,-813.708,-872.956
8760,-1645.37,-1407.444,-1347.365,-1374.902,-1355.584,-1347.846,-1265.866,-1263.68,-1142.666,-1316.62,-1366.53,-1287.148,-2463.272,-2693.995,-2732.822,-2571.784,-2678.046,-2776.666,-2846.48,-2202.666,-894.672,-888.412,-813.832,-873.264
8761,-1645.53,-1407.57,-1347.58,-1375.216,-1355.936,-1348.208,-1266.16,-1264.06,-1143.062,-1316.992,-1366.824,-1287.454,-2463.51,-2694.34,-2733.348,-2572.396,-2678.908,-2777.46,-2847.36,-2203.562,-894.82,-888.504,-813.852,-873.364
8762,-1645.765,-1407.766,-1347.76,-1375.146,-1356.176,-1348.374,-1266.336,-1264.3,-1143.232,-1317.12,-1366.742,-1287.07,-2463.878,-2694.68,-2733.522,-2572.536,-2678.654,-2778.136,-2848.1,-2204.232,-894.912,-888.624,-813.928,-873.512
8763,-1645.955,-1407.924,-1347.865,-1375.24,-1356.468,-1348.522,-1266.508,-1264.596,-1143.526,-1317.456,-1366.988,-1287.322,-2464.172,-2694.995,-2733.668,-2572.968,-2678.382,-2778.808,-2848.896,-2205.026,-894.992,-888.732,-814.052,-873.628
8764,-1646.155,-1408.114,-1348.035,-1375.35,-1356.756,-1348.83,-1266.788,-1264.94,-1143.848,-1317.816,-1367.342,-1287.724,-2464.522,-2695.305,-2733.926,-2573.396,-2679.19,-2779.588,-2849.74,-2205.848,-895.164,-888.748,-814.176,-873.808
8765,-1646.36,-1408.32,-1348.245,-1375.634,-1357.012,-1349.106,-1267.028,-1265.244,-1144.106,-1317.912,-1367.43,-1287.898,-2464.88,-2695.635,-2734.326,-2573.672,-2679.506,-2780.328,-2850.544,-2206.606,-895.272,-888.864,-814.228,-873.716
8766,-1646.56,-1408.532,-1348.48,-1375.978,-1357.416,-1349.496,-1267.374,-1265.584,-1144.082,-1318.116,-1367.596,-1287.854,-2465.236,-2696.04,-2735.01,-2574.456,-2680.396,-2781.174,-2851.384,-2207.082,-895.368,-888.972,-814.32,-873.832
8767,-1646.71,-1408.586,-1348.37,-1375.654,-1356.58,-1349.344,-1267.26,-1265.588,-1143.902,-1318.188,-1367.816,-1288.088,-2465.438,-2696.01,-2734.738,-2573.04,-2678.904,-2779.76,-2851.888,-2207.402,-895.444,-889.056,-814.5,-874.124
8768,-1646.885,-1408.736,-1348.39,-1375.75,-1356.812,-1349.624,-1267.46,-1265.868,-1144.102,-1318.2,-1367.932,-1288.0,-2465.708,-2696.17,-2734.982,-2573.292,-2679.684,-2780.46,-2852.668,-2208.102,-895.608,-889.136,-814.512,-874.16
8769,-1647.11,-1408.96,-1348.705,-1376.106,-1357.064,-1349.856,-1267.742,-1266.116,-1144.0,-1317.456,-1367.724,-1287.976,-2466.08,-2696.715,-2735.678,-2573.564,-2679.956,-2781.242,-2853.416,-2208.5,-895.724,-889.216,-814.62,-874.228
8770,-1647.3,-1409.104,-1348.985,-1376.24,-1356.556,-1350.114,-1268.036,-1266.456,-1144.298,-1317.708,-1367.986,-1288.236,-2466.312,-2697.155,-2736.12,-2573.556,-2680.254,-2782.036,-2854.256,-2209.298,-895.836,-889.312,-814.704,-874.328
8771,-1647.48,-1409.266,-1349.105,-1376.536,-1356.892,-1350.468,-1268.38,-1266.876,-1144.708,-1318.1,-1368.366,-1288.646,-2466.538,-2697.415,-2736.564,-2574.152,-2681.108,-2782.88,-2855.176,-2210.208,-895.912,-889.444,-814.788,-874.54
8772,-1647.665,-1409.432,-1349.23,-1376.658,-1357.2,-1350.834,-1268.716,-1267.24,-1145.092,-1318.372,-1368.44,-1288.896,-2466.876,-2697.69,-2736.834,-2574.6,-2681.974,-2783.716,-2856.04,-2211.092,-896.016,-889.524,-814.92,-874.768
8773,-1647.925,-1409.658,-1349.515,-1376.98,-1357.512,-1351.21,-1269.048,-1267.6,-1145.446,-1318.752,-1368.82,-1289.244,-2467.254,-2698.145,-2737.304,-2575.052,-2682.85,-2784.548,-2856.9,-2211.946,-896.168,-889.612,-814.94,-874.868
